文件名,time,rato
random65536_insertion,0,0.836885295494689
random65536_insertion,1,0.6313561473458285
random65536_insertion,2,0.6064372197984278
random65536_insertion,3,0.5518400810712545
random65536_insertion,4,0.37590396911220897
