height,timestamp,diff,change,bits,average_time(seconds),average_hashrate
243936,1372515725,21335329,10.32,0x1a00c94e,544,152635467502135
245952,1373502163,26162875,22.63,0x1a00a429,489,187275057584633
247968,1374515827,31256960,19.47,0x1a008968,503,223481631061753
249984,1375527115,37392766,19.63,0x1972dbf2,502,267622283543677
252000,1376417490,50810339,35.88,0x19548732,442,363634452300652
254016,1377353319,65750060,29.40,0x19415257,464,470117028341935
256032,1378268460,86933017,32.22,0x1931679c,454,622097605220000
258048,1379202248,112628548,29.56,0x19262222,463,806096160321770
260064,1380118146,148819199,32.13,0x191cdc20,454,1064760088346112
262080,1381070552,189281249,27.19,0x1916b0ca,472,1352967078039599
264096,1381925788,267731249,41.45,0x19100ab6,424,1916337545179671
266112,1382754272,390928787,46.02,0x190afc85,411,2798113504282063
268128,1383681123,510929738,30.70,0x190867f3,460,3652061800811111
270144,1384699499,609482679,19.29,0x19070bfb,505,4344136011425955
272160,1385742648,707408283,16.07,0x19061242,517,5059008519729652
274176,1386684686,908350862,28.41,0x1904ba6e,467,6502076994617518
276192,1387617112,1180923195,30.01,0x1903a30c,463,8435088561554646
278208,1388624318,1418481395,20.12,0x1903071f,500,10152049756704653
280224,1389583220,1789546951,26.16,0x19026666,476,12808545296853137
282240,1390570126,2193847870,22.59,0x1901f52c,490,15700652330080324
284256,1391584456,2621404453,19.49,0x1901a36e,503,18727406056966970
286272,1392597839,3129573174,19.39,0x19015f53,503,22398080817194603
288288,1393590585,3815723798,21.92,0x19012026,492,27295895925505756
290304,1394676764,4250217919,11.39,0x190102b1,539,30417668164018530
292320,1395703832,5006860589,17.80,0x1900db99,509,35831285442993068
294336,1396694478,6119726089,22.23,0x1900b3aa,491,43762023780986119
296352,1397755646,6978842649,14.04,0x19009d8c,526,49934215129055624
298368,1398811175,8000872135,14.64,0x1900896c,524,57248435900702088
300384,1399904311,8853416309,10.66,0x187c3053,542,63374350552130967
302400,1400928750,10455720138,18.10,0x18692842,508,74829901190931338
304416,1402004993,11756551916,12.44,0x185d859a,534,84118980299484996
306432,1403061280,13462580114,14.51,0x1851aba2,524,96371455941216181
308448,1404029556,16818461371,24.93,0x18415fd1,480,120386980654039202
310464,1405205894,17336316978,3.08,0x183f6be6,584,123795404875034551
312480,1406325092,18736441558,8.08,0x183aaea2,555,134122087010928089
314496,1407474112,19729645940,5.30,0x1837ba62,570,141191942637909678
316512,1408475518,23844670038,20.86,0x182e1c58,497,170592326282348721
318528,1409527152,27428630902,15.03,0x182815ee,522,196325669617182490
320544,1410638896,29829733124,8.75,0x1824dbe9,551,213623843762107357
322560,1411680080,34661425923,16.20,0x181fb893,516,248068871672472523
324576,1412877866,35002482026,0.98,0x181f6973,594,250563369914471712
326592,1414055393,35985640265,2.81,0x181e8dc0,584,257382109633395759
328608,1415154631,39603666252,10.05,0x181bc330,545,283457459164086648
330624,1416345124,40300030327,1.76,0x181b4861,591,288044067398751955
332640,1417563705,40007470271,-0.73,0x181b7b74,604,286352750913614066
334656,1418791024,39457671307,-1.37,0x181bdd7c,609,282250046843427593
336672,1419965588,40640955016,3.00,0x181b0dca,583,290874167951004179
338688,1421084073,43971662056,8.20,0x1819012f,555,314618408388673203
340704,1422372946,41272873894,-6.14,0x181aa3c0,639,295401804964700778
342720,1423496415,44455415962,7.71,0x1818bb87,557,318092922431069247
344736,1424648937,46684376316,5.01,0x18178d3a,572,333984139388855587
346752,1425840165,47427554950,1.59,0x18172ec0,591,339333750495233451
348768,1427068411,46717549644,-1.50,0x181788f2,609,334345718722485330
350784,1428211345,49446390688,5.84,0x18163c71,567,353923412293620338
352800,1429467906,47610564513,-3.71,0x181717f0,623,340722966823704589
354816,1430677341,47643398017,0.07,0x181713dd,600,340856191639323538
356832,1431858433,48807487244,2.44,0x181686f5,586,349276518754090048
358848,1433099185,47589591153,-2.50,0x18171a8b,615,340605655288116415
360864,1434257763,49692386354,4.42,0x18162043,575,355661687919506670
362880,1435475246,49402014931,-0.58,0x1816418e,604,353408781304760217
364896,1436646286,51076366303,3.39,0x181586c8,581,365277836441163215
366912,1437828285,52278304845,2.35,0x18150815,586,374156481440103820
368928,1439028930,52699842409,0.81,0x1814dd04,596,377013819199497096
370944,1440204583,54256630327,2.95,0x181443c4,583,388132982177933330
372960,1441357507,56957648455,4.98,0x18134dc1,572,407476462400629703
374976,1442519404,59335351233,4.17,0x181287ba,576,424458084099124530
376992,1443700390,60813224039,2.49,0x18121472,586,435029949866886723
379008,1444908751,60883825480,0.12,0x18120f14,599,435764369884696107
381024,1446092706,62253982449,2.25,0x1811a954,587,445263530465781679
383040,1447236692,65848255179,5.77,0x1810b289,567,471190817393790993
385056,1448332462,72722780642,10.44,0x180f1e76,544,520325672928456458
387072,1449444652,79102380900,8.77,0x180de64f,552,566163515672366158
389088,1450469289,93448670796,18.14,0x180bc409,508,668451512317523038
