1134jVdutTZpDfsPjLu4U1vE3UURdWeFui,15,189,,0.0
122Z63d9uRgYaAugxawaB79o12fRNYwFc8,79,976,20171218;20171217;20171203;20171202;20171105;20171104;20171016;20171015;20171010;20171010;20170930;20170929;20170923;20170922;20170922;20170922;20170921;20170921;20170921;20170921;20170919;20170918;20170918;20170918;20170917;20170916;20170906;20170905;20170904;20170904;20170720;20170719;,0.0
12s697aJ4bauc4eQG4MMZKwPUfgAFYeMcF,2,32,,0.0
13TEThZNnKPk34HYAuo1QqYMwDdjF3qeHx,707,8908,20171231;,0.00107
13hQVEstgo4iPQZv9C7VELnLWF7UWtF4Q3,419,5454,20180101;20180101;20171231;20171231;20171230;20171230;20171230;20171230;20171230;20171229;20171229;20171229;20171229;20171229;20171229;20171229;20171229;20171229;20171228;20171228;20171228;20171228;20171228;20171228;20171228;20171228;20171228;20171228;20171228;20171228;20171228;20171227;20171227;20171227;20171227;20171227;20171227;20171227;20171226;20171226;20171226;20171226;20171226;20171225;20171225;20171225;20171224;20171224;20171224;20171223;20171223;20171223;20171223;20171222;20171222;20171222;20171222;20171222;20171222;20171222;20171222;20171222;20171221;20171221;20171221;20171220;20171220;20171220;20171220;20171219;20171219;20171219;20171218;20171218;20171217;20171217;20171217;20171217;20171216;20171215;20171215;20171215;20171215;20171215;20171215;20171215;20171215;20171214;20171214;20171214;20171214;20171214;20171214;20171214;20171214;20171213;20171213;20171213;20171213;20171213;20171213;20171213;20171213;20171213;20171213;20171213;20171212;20171212;20171212;20171212;20171212;20171212;20171212;20171212;20171211;20171211;20171211;20171211;20171211;20171211;20171211;20171211;20171210;20171210;20171210;20171210;20171210;20171210;20171210;20171209;20171209;20171209;20171208;20171208;20171208;20171208;20171208;20171208;20171207;20171207;20171207;20171207;20171207;20171207;20171207;20171206;20171206;20171206;20171206;20171206;,94.3637858
147SwRQdpCfj5p8PnfsXV2SsVVpVcz3aPq,280,3501,20171229;20171228;20171228;20171228;20171227;20171227;20171227;20171227;20171226;20171226;20171225;20171225;20171224;20171224;20171224;20171224;20171222;20171222;20171204;20171203;20171110;20171109;20170914;20170912;20170911;20170910;20170906;20170905;20170831;20170831;20170830;20170830;20170829;20170827;20170823;20170822;20170811;20170810;20170731;20170729;20170729;20170723;20170721;20170718;20170718;20170708;20170703;,0.0
14DjTuAUh87cwRsbU1z6W8hZY6FnEkpfLS,186,2261,,2278.43830199
14EA2WyGwinYG7CWyt7uPbsxMSrNsWh8oi,1,13,20171227;20171216;20171207;20171204;20171203;20171130;20171124;20171119;20171119;20171117;20171117;20171111;20171105;20171030;20171025;20171020;20171015;20170920;,0.0
14gXJ8DXTTwbwrnjBmVG9Q6MGEFgu1h3GJ,8,96,,0.0
14yd17779fySwxwPJVxLtdacpd1QMJhabo,70,941,20171231;20171231;20171230;20171229;20171228;20171228;20171227;20171226;20171224;20171221;20171220;20171218;20171216;20171214;20171213;20171213;20171212;20171211;20171211;20171211;20171210;20171210;20171209;20171206;20171205;20171205;20171204;20171204;20171203;20171201;20171201;20171201;20171130;20171130;20171130;20171129;20171129;20171128;20171126;20171124;20171123;20171123;20171122;20171122;20171114;20171113;20171111;20171110;20171108;20171107;20171107;20171106;20171106;20171105;20171105;20171105;20171104;20171104;20171104;20171104;20171103;20171025;20171024;20171024;20171023;20171023;20171022;20171021;20171020;20171020;20171019;20171017;20171016;20171016;20171015;20171015;20171013;20171013;20171012;20171011;20171010;20171009;20171009;20171009;20171008;20171007;20171006;20171006;20171005;20171003;20171003;20171002;20171002;20171001;20170930;20170929;20170929;20170927;20170927;20170927;20170926;20170925;20170924;20170922;20170921;20170921;20170919;20170919;20170918;20170918;20170918;20170917;20170917;20170917;20170917;20170916;20170915;20170915;20170914;20170913;20170913;20170911;20170911;20170911;20170911;20170910;20170910;20170910;20170908;20170907;20170906;20170906;20170906;20170906;20170905;20170903;20170902;20170902;20170901;20170901;20170901;20170831;20170831;20170830;20170828;20170827;20170826;20170825;20170824;20170824;20170823;20170823;20170822;20170822;20170822;20170821;20170820;20170819;20170819;20170819;20170818;20170818;20170817;20170816;20170814;20170814;20170814;20170813;20170813;20170811;20170810;20170810;20170810;20170809;20170809;20170808;20170808;20170807;20170807;20170806;20170805;20170805;20170805;20170803;20170803;20170802;20170802;20170802;20170801;20170801;20170731;20170730;20170730;20170728;20170728;20170727;20170727;20170726;20170726;20170725;20170722;20170721;20170721;20170721;20170720;20170720;20170719;20170719;20170718;20170718;20170718;20170717;20170717;20170717;20170717;20170715;20170714;20170714;20170713;20170710;20170709;20170708;20170708;20170707;20170706;20170705;20170705;20170703;20170628;20170627;20170627;20170624;20170624;20170624;20170621;20170621;20170620;20170617;20170616;20170616;20170616;20170613;20170611;20170610;20170609;20170608;20170608;20170607;20170606;20170606;20170606;20170605;20170604;,0.0
