1134jVdutTZpDfsPjLu4U1vE3UURdWeFui,15,189
122Z63d9uRgYaAugxawaB79o12fRNYwFc8,109,1341
1231F5mJfWNoFEuhMjKb4i73My3586iPb2,4,48
12A7nwtTMiZYbz9tQvZmjXGtiSsMLtsXus,1,12
12NQFBuxPHB3h9RZuFkzFu6oJbbuJ375QY,5,60
12s697aJ4bauc4eQG4MMZKwPUfgAFYeMcF,2,32
12unT4r291CZa6s4QWYLWJnzxiXMquiwKq,1,1
12ybPxJQqJMFQK24Gszz8TdC1tJjWCm3Ch,10,121
12ygjDmWjn6s6DDwe9Vs6QvrcH5zwKBC4i,1,1
13Djmm4Sv1mkym8QJ3s3qbDnTP24aEZCfs,321,3863
13TEThZNnKPk34HYAuo1QqYMwDdjF3qeHx,872,10902
13WmMzyrJxfJAgWupbQGqCn9YeNQo2gJAW,10,120
13hGbssP3332kLjMWHGzBQrZ1fYk618G11,6,72
13hQVEstgo4iPQZv9C7VELnLWF7UWtF4Q3,940,11733
13hWYVL5iqCfbXNWj1D1PPA9n7q7Y4T5kg,2,24
13xwSvpqFGqfwCt2Q5cqxxGwF2jFw627aB,1,1
1473veS7gLGHQayJrFJfvDb2kuzSRLHne7,1,1
147SwRQdpCfj5p8PnfsXV2SsVVpVcz3aPq,312,3891
14DjTuAUh87cwRsbU1z6W8hZY6FnEkpfLS,405,4899
14EA2WyGwinYG7CWyt7uPbsxMSrNsWh8oi,1,13
14atnie7YgFbNKqMt9XMuV6jGKRWpk3tiY,3,36
14gXJ8DXTTwbwrnjBmVG9Q6MGEFgu1h3GJ,8,96
14yd17779fySwxwPJVxLtdacpd1QMJhabo,169,2136
152f1muMCNa7goXYhYAQC61hxEgGacmncB,19,300
155fzsEBHy9Ri2bMQ8uuuR3tv1YzcDywd4,1165,14474
157BdGfshRYJt38M3wAomB7vPvLV8xMGqc,2,24
15Ck3KAC1c7ABFS5VSXEQCid4My1PQ7wFy,8,96
15X3byFLM4GrJHwuhWg3FDPYApSDWG7Xev,1,1
15kiNKfDWsq7UsPg87UwxA8rVvWAjzRkYS,14,169
1625FRGyTedxFmpY5tvtNoCzT1V26CxwgH,77,932
162yoHmpvqCq5SztkKaiEd5LiPyxcPLYzu,14,168
165GCEAx81wce33FWEnPCRhdjcXCrBJdKn,52,640
16GsNC3q6KgVXkUX7j7aPxSUdHrt1sN2yN,4,52
16MdTdqmXusauybtXTmFEW4GNFPPgGxQYE,5,61
16WEZjGe73inxKU2TrQAkQKvmxveYMESwM,1,12
16kUc5B48qnASbxeZTisCqTNx6G3DPXuKn,26,389
16oZmpFVHpXVgyegWYXg4zNFhXVxYJemmY,26,366
16q1qqniGuh5rm9YMxHYtPHHE3rPLt7WPw,1,12
172XjsE3Dy5pqDDVvPBCdY73iK2pA4aNUj,6,72
17gVZssumiJqYMCHozHKXGyaAvyu6NCX6V,24,345
17pps6xMNRHfohSmt114BeB9mQSPkjUwfR,1,12
17uvG5teUQeYmj5Sa6whsWaWtM6TjbsVFn,81,977
18HaPa8WwqbVNeC4JpjAoxMbwSGbU5pS9C,8,127
18bXSCSXiTD3DB3XEz851VpB4ZK49rkprT,50,602
18cBEMRxXHqzWWCxZNtU91F5sbUNKhL5PX,5850,72576
18rsjjwaSZQJVu6bL7RDbywvCnKmuLXroV,1,1
18tFSYdTqXeE2w7KJ4rg7jWHR2zxUica4b,145,1743
18yseqevP9FWUAr6Dx9ZkdR72Pe5weTK3p,18,221
199EDJoCpqV672qESEkfFgEqNT1iR2gj3t,78,1156
199RcwJ6iM1k7vkuYTWus5skMKDm1dP1r2,110,1329
19BWU3tqDzsnEKCTd7APKZ9LvZoRKx2mF7,6,72
19PkHafEN18mquJ9ChwZt5YEFoCdPP5vYB,5,61
19YSgAtNt2NkDKwGBuEdmTSYfdqSDoEhm6,1,12
19hRfTQFVxBsfsDZvbyct7tTemNdqjXFj,6,72
19uddAAMMPAj6Xm57NMsfHQ35rpXZdNJic,2,24
1ACAgPuFFidYzPMXbiKptSrwT74Dg8hq2v,1180,14230
1AEHme2G7TfWZp6LRJaziN7RdjrMdrX9VQ,11,133
1AJQ3jXhUF8WiisEcuVd8Xmfq4QJ7n1SdL,102,1324
1AM2fYfpY3ZeMeCKXmN66haoWxvB89pJUx,444,5741
1ASWj8rJbksmPu9Z34fVmJyLu1kBXmUBmj,12,144
1AZ6BkCo4zgTuuLpRStJH8iNsehXTMp456,12,159
1AdbRdfLqxekeTjkybHc84iPQW11t4sGqM,5,60
1AtQu3BesvK5L7cCE3v9QaY4jCTGVGAyWM,17,206
1Avgd9nrPR6qVe6LBgsWYQxwWis5n2RhZc,33,416
1BDKvVwu1Gc3cpmF5vwboa3P3be2GLv5a1,29,350
1BQLNJtMDKmMZ4PyqVFfRuBNvoGhjigBKF,125,1722
1BWUp6Sg5CPG7jiu75BF5sPRCWiF1oEBdw,1,1
1C1mCxRukix1KfegAY5zQQJV7samAciZpv,8112,101852
1CAUceRNgaAat55wKJJsJRohKvP57ocFim,54,652
1CK6KHY6MHgYvmRQ4PAafKYDrg1ejbH1cE,6027,74603
1CQVNCwydo3t2Vk3xVFWEB9KN6oHs1xEnq,1,12
1Cb4X74MUitDDCdkhdRRcB8eutpV5bAhdG,125,1506
1CmeAVYtTEybcScF7Ve3E98fVvJczizTGi,10,120
1CnokhuRJ1JUznG7P3GhvtkKUV7kbFyE4j,1,1
1CyB8GJNEsNVXtPutB36nrDY3fMXBTzXSX,54,800
1D4UZG4qo8bF1MuZHSEyBHRZaxT8inatXS,38,564
1DDXyKUT6q3H9e5QXm2Gv6BNNWgztFG55g,39,591
1DVKajiwh46YrTzQccq65u2unqfwckGUD1,9,109
1DXCobbkfzTVffq5EHs8PHj5wxiJybxqLQ,1,12
1Dek9ArRHb9tyWb9gaaX8SWmkfi5V7U5Y6,33,494
1DxqpCGESsSzDpKT2SKdffRBrjM47tY1nm,6,72
1DyR7HPQWjM6Zrnk7SzHVY2GEpXRGNNH9o,42,629
1E6avMuP1HbweUvGrfzPGEM8y3YVKKP5ZS,1,12
1EVzaFkkNNXq6RJh2oywwJMn8JPiq8ikDi,559,6736
1EZMV4hg2SSHZknhU3L5A5dad4zdreWkns,20,240
1EcH7pHYTHLo3cbdXfkf6e6Zh5JzCPGumc,7,61
1EijVXAf31PRbJrBRF6tU7YMRwYZnqdZdj,1,15
1EuCPctHH8Fhjiirj7VoiJvdVVCk4hd3gv,9,108
1Ex7XzK8JhY9w9hLsPp7AEXVGNZgdcHTDV,2,24
1FCMHSWjy6cWPVoKQ5YM7FgY9C2XuMcMQf,125,1507
1FVKW4rp5rN23dqFVk2tYGY4niAXMB8eZC,916,11509
1FdJkPdpXtK3t5utZHJAop3saLZWfPfgak,33,492
1GJrtQWQNxNxoSLqMG2LXfYU7EH2gvQJek,62,771
1GKbGYiWZJfcSWdXcmorUC2nKZo6qW1kuQ,16,192
1GQHQ3oD2GW5o8pd9xzCKFHYSYSuRcF6LQ,1,12
1GRcX882sdBYCAWyG99iF2oz7j3nYzXhLM,8,118
1GUuTaTd15NtH7TaRvWmovhiQFgGB7oztA,3,36
1Gacjp6mftfjzGs6sqZGCDKinhpzZXzHKr,2,24
1GbVUSW5WJmRCpaCJ4hanUny77oDaWW4to,51,801
1GbqpH5CeStEQmCAEZ6KSiJ6iNFGQ29WEB,22,268
1Gp7iCzDGMZiV55Kt8uKsux6VyoHe1aJaN,24,312
1H3u6R813MHGYhmGW6v86EYYriawRtACYD,36,548
1H67vwBC97j3vgJzFoyXxQzU1YghgQxHFK,1,12
1HEfDak9rCsnWsmex6ZxA3u91tJmyejpz5,1,1
1HFBo8KGsx6GufonyMw3WKwLxckdvYatPF,27,331
1Hz96kJKF2HLPGY15JWLB5m9qGNxvt8tHJ,5069,62988
1J3WwsSU7t1LoXXBE5uKZUraSwpqoSFYJb,1,1
1JLC17az2V7u3hzDmoh3rZPK8b9YZ6rwsW,2,24
1JQG93ydMYLndpRTGL6Tv7mxJrx3As9ANP,5,61
1JXBHp6w9J21CGwK7SeC5uRGomEhVG8pgc,1,12
1JwUDWVSbAY5NeCBJhxQk1E8AfETfZuPj4,34,497
1K8PNogxBZ6ts532DZnzxdbjgzJLjLdXqz,41,619
1KCm3E97dedS2xGCPNh5oo7Rx8cUk8jvMn,38,458
1KFHE7w8BhaENAswwryaoccDb6qcT6DbYY,4319,53070
1KPQkehgYAqwiC6UCcbojM3mbGjURrQJF2,47,579
1KSBanriG6asEwcvGvB4sm1AJS9eBmoAjJ,3,40
1KWVwcuysnUSGejT47VKtcL7Qdtaf1RMQs,1,12
1Kv2fkwX3p9TP9g9KtgTaBA1v3o5TAUoiQ,1,1
1KxnBJBkBf8o9z5cYaSDLBFA9tKM9WrZaQ,5,60
1LayuyG7T2BptABEAJdkCkGRaidRNPDFNt,74,898
1LbgpLJtkarb4NuzcY3wFXoihsDiQUQFUA,5,60
1Lg1GdrqhHacUVQNAB3j2u9RcEbDEGHdYY,1,1
1LhbiLp78MBdbB3emxTmGLWHXbg3xKrq7T,3,38
1Lk1p9yr2StBnGFtMeqnLHpf8oGL3WdeBM,109,1317
1LnHsq9xe3geSGyyrfUprZMTPn4fHpRCEP,1,1
1LsFmhnne74EmU4q4aobfxfrWY4wfMVd8w,20,241
1M1gbkLmrpZ1Hq8WxdgPCHkvqvGYVFybhw,1,12
1MS6FJe8JyvcKBjbRnkhJon3TsfyAn4D9W,1,12
1MVA4tCYxtCmfq5fz4LoiYTwWKaeB6LPEx,10,120
1McGav8kE2CxwfT47QchjCnt3CinwXsf31,1,12
1MsEbXvTs8mHy5vS9hgyMPq5Xx4umiuYrX,9,110
1N1F8Rip3af91tYzgf4PyT9a7okrHns1op,2,24
1NFw6R8ySoyzCvRrKGK2jWDuVUcq8ECggP,31,376
1NQNUt6dZYvYaovYPL5KRCc8abpSAuNThP,23,276
1NS4gbx1G2D5rc9PnvVsPys12nKxGiQg72,34,444
1NaiYgbgzkQagmmnmYKg7iws4bvPVoRqQz,1,12
1Nf7CzkenrwEhsYFAjZCJ5TP1nzy9tT93R,6,80
1Nh7uHdvY6fNwtQtM1G5EZAFPLC33B59rB,7235,89011
1NsuJ5XocynMiMoEcw7PN2RBjsXGyLEu1T,4,48
1NvWFTai59nRUGJyL8d5KVp83pVCY5Xv6A,2,24
1Nx7XrkbwxdwvU2qo3VboqeykH6ha1GMg1,1,1
1NzwkFVQNTzih4YwsEATBXsm6Co6DtM7r7,29,349
1PHhNs6de2qQfpjBEVAz5ujGKZrTHQNhnJ,15,210
1PaspRAYAzQc4NfD2ug2nKdkYy4zWJutyW,1,12
1Pg6jHwQSZENKHxDPaRZkpntWyEZbjJy66,1,1
1Pof8yq73J6MheYMKQLkbi4tJsWd7yYtyf,14,169
1PuTM8tUE6u8JLuZ4Yd6mFZ9qiaBRsy79W,1,12
1Q7Jmho4FixWBiTVcZ5aKXv4rTMMp6CjiD,473,5867
1Q7MES3Ww6cUHBNTyNBgf9kZHHDFAq6Asp,29,447
1Q8UhmbPKmKsmcvbxGdtTrGL1XaUURaDsR,1,12
1QAwX5iZFmXt53ovKYjoMwDupYriJgETMC,13,156
1RtUKxMRGBrz7Qt3YPZJb988PddKCNEFk,544,6550
1Sjj2cPC3rTWcSTEYDeu2f3BavLosog4T,33,495
