90,1
20,1
149,1
264,1
58,1
31,1
111,1
250,1
50,1
152,1
210,1
265,1
46,3
279,2
26,1
32,1
295,1
110,2
270,1
103,1
125,1
119,1
351,3
272,2
116,2
81,2
67,3
18,1
361,1
27,1
176,1
343,7
289,1
122,2
77,2
62,2
359,1
25,1
24,1
173,1
340,2
47,1
355,1
21,1
38,4
297,1
349,1
182,1
15,4
87,3
291,1
124,1
101,1
268,2
294,1
219,1
211,1
53,3
350,1
183,1
16,2
95,2
317,3
14,1
348,3
181,1
23,2
260,1
339,1
102,1
180,1
22,1
242,1
75,1
300,1
133,3
135,1
302,2
79,1
246,1
85,1
243,1
238,3
71,1
308,1
64,1
63,2
353,1
19,2
335,1
342,2
175,2
323,2
42,2
201,1
34,3
40,1
33,1
285,1
59,1
123,2
109,1
179,1
12,5
346,2
131,1
275,1
108,3
29,1
134,3
293,1
315,3
72,1
