26490,7,8750000000000,7,8750000000000
745,37,6142462000000,0,0
27616,1,2185000000000,1,2185000000000
29774,1,1595435000000,1,1595435000000
25874,1,1225000000000,1,1225000000000
25703,1,1195000000000,1,1195000000000
27620,1,2250000000000,0,0
25179,2,1005000000000,1,970000000000
26903,10,1850000000000,1,100000000000
29779,1,1595435000000,0,0
26056,2,1350000000000,1,50000000000
28601,1,1000020000000,0,0
29230,3,740000000000,1,190000000000
28908,6,680000000000,2,221000000000
5271,19,800000000000,0,0
24517,3,595000000000,2,90000000000
11831,10,435001000000,2,105000000000
11653,1,225000000000,0,0
2544,1,100000000000,1,100000000000
3553,1,100000000000,0,0
2841,13,47167000000,12,47166000000
28871,1,89565000000,0,0
29985,1,85000000000,0,0
5270,1,40000000000,1,40000000000
3346,1,80000000000,0,0
10626,1,35000000000,1,35000000000
13115,1,69850000000,0,0
10769,1,30000000000,1,30000000000
6818,1,30000000000,1,30000000000
4457,1,55000000000,0,0
4452,1,25000000000,1,25000000000
1609,1,50000000000,0,0
1074,1,50000000000,0,0
29032,5,23100000000,5,23100000000
1204,1,40000000000,0,0
5266,1,20000000000,1,20000000000
29817,1,39900000000,0,0
29274,1,18700000000,1,18700000000
10,6,19500000000,5,17700000000
3927,1,35004000000,0,0
13909,4,17198000000,4,17198000000
7233,1,15000000000,1,15000000000
22287,3,14964000000,3,14964000000
20498,3,14780000000,3,14780000000
31875,1,25000000000,0,0
599,1,25000000000,0,0
30054,3,14850000000,2,9950000000
18431,3,22500000000,0,0
4455,1,10000000000,1,10000000000
3981,1,20000000000,0,0
