90,1.6e+11
20,4e+10
149,3e+11
264,4e+10
58,1.8e+11
31,1e+11
111,5e+09
250,6.5e+10
50,8e+10
152,5e+09
210,1e+10
265,2e+11
46,9e+10
279,9e+10
26,1e+11
32,1e+10
295,1.16e+12
110,5.75e+11
270,8e+10
103,5e+09
125,5e+10
119,1e+11
351,2.735e+10
272,2.15e+11
116,7.5e+10
81,5.5e+10
67,1.55e+11
18,1.5e+10
361,2.5e+10
27,1.5e+10
176,1e+11
343,7.41e+10
289,4.65e+11
122,7.4994e+10
77,7e+10
62,4e+10
359,5e+09
25,5e+09
24,5e+10
173,3e+11
340,1.4e+10
47,1.5e+11
355,5e+09
21,1e+10
38,1.198e+11
297,1.225e+12
349,2.45e+11
182,1e+10
15,4e+10
87,1e+11
291,3.5e+10
124,1.5e+11
101,3.5e+10
268,1.3e+11
294,8.9976e+10
219,5.54953e+11
211,5e+09
53,6.5e+10
350,8.5e+10
183,5e+09
16,2e+10
95,8.5e+10
317,6e+10
14,6.1e+09
348,1.64034e+12
181,9.5e+09
23,4.5e+10
260,5.05e+11
339,9e+10
102,3e+10
180,5e+09
22,5e+10
242,5e+09
75,2.4e+11
300,1.3e+12
133,1.49e+10
135,5e+10
302,2.05e+11
79,6e+10
246,7e+10
85,1.4e+11
243,3e+10
238,2.34806e+11
71,1.5e+10
308,2.5e+11
64,4e+10
63,1.25e+11
353,5e+09
19,7.75e+10
335,8.6e+11
342,1.5e+11
175,1.4898e+10
323,2.685e+12
42,5.5004e+10
201,6.04967e+11
34,1.5e+10
40,2.2e+11
33,5e+09
285,4.25e+11
59,3.5e+10
123,8.5e+09
109,4e+10
179,5e+09
12,1.77e+10
346,5.2e+11
131,1e+10
275,5e+10
108,1.5e+10
29,6e+10
134,1.9999e+10
293,5.04988e+11
315,1.2e+12
72,7.5e+10
