31,634,290000000000
30,1038,19500000000
29,1025,895000000000
28,1068,140000000000
27,1125,1600000000000
26,1152,549806000000
25,1201,240000000000
24,1220,1289898000000
23,973,45000000000
22,1049,1870000000000
21,1050,149976000000
20,1203,1784955000000
19,1202,2887500000000
18,1141,138251000000
17,1128,532350000000
6,965,104000000000
5,956,265000000000
4,920,525000000000
3,923,188166000000
1,888,885000000000
2,964,134994000000
7,950,739753000000
8,1018,405000000000
9,1018,296500000000
10,1045,0
11,1152,9100004000000
12,1121,1072900000000
13,1163,155001000000
14,1175,3280669000000
15,1116,433500000000
16,1126,960100000000
